Age,Score1,Clicks2,Hits2,Score2,Clicks3,Hits3,Score3,Clicks4,Clicks5,Hits5,Score5,Hits8,Clicks9,Hits9,Score9,Clicks10,Hits10,Hits11,Score11,Score12,Hits14,Score14,Clicks19,Clicks20,Hits20,Score20,Clicks22,Hits22,Score22,Clicks24,Hits24,Score24,Clicks25,Hits25,Score25,Accuracy25,Clicks26,Hits26,Score26,Clicks27,Accuracy27,Clicks28,Hits28,Score28,Clicks29,Accuracy29,Clicks30,Accuracy30,Missrate30,Clicks31,Hits31,Misses31,Accuracy31,Missrate31,Clicks32,Accuracy32,Missrate32,Gender_Male,Nativelang_Yes,Prediction,Probability,Explanation (Top Factors)
9,7,6,6,6,6,6,6,3,5,5,5,2,0,0,0,6,6,2,2,1,0,0,5,1,0,0,2,0,0,1,1,1,2,1,1,0.5,3,2,2,0,0.0,3,1,1,2,0.5,13,0.0,0.153846,35,2,2,0.0571429,0.0571429,26,0.0769231,0.0769231,False,True,"<span style=""color:red; font-weight:bold;"">Dyslexia</span>",0.903,<b>Missrate30</b>: Increases Risk (0.021)<br><b>Accuracy30</b>: Decreases Risk (-0.021)<br><b>Accuracy29</b>: Increases Risk (0.011)<br><b>Clicks30</b>: Decreases Risk (-0.011)<br><b>Hits2</b>: Increases Risk (0.01)
7,0,6,6,6,5,5,5,4,6,4,4,3,0,0,0,4,1,5,5,1,5,5,8,1,0,0,2,0,0,1,0,0,1,1,1,1.0,2,2,2,0,0.0,0,0,0,0,0.0,8,125.0,0.0,33,0,1,0.0,0.030303,21,0.047619,0.0,True,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.328,<b>Age</b>: Increases Risk (0.082)<br><b>Score1</b>: Decreases Risk (-0.082)<br><b>Hits2</b>: Decreases Risk (-0.045)<br><b>Clicks2</b>: Increases Risk (0.045)<br><b>Accuracy29</b>: Increases Risk (0.024)
11,0,9,2,2,15,2,2,6,4,4,4,1,1,0,0,7,7,5,5,2,4,4,5,4,4,4,3,3,3,3,0,0,2,1,1,0.5,4,3,3,1,0.0,3,3,3,26,0.115385,3,0.666667,0.333333,43,2,2,0.0465116,0.0465116,17,0.117647,0.117647,False,False,"<span style=""color:red; font-weight:bold;"">Dyslexia</span>",0.596,<b>Age</b>: Decreases Risk (-0.035)<br><b>Score1</b>: Increases Risk (0.035)<br><b>Hits2</b>: Decreases Risk (-0.034)<br><b>Clicks2</b>: Increases Risk (0.034)<br><b>Missrate31</b>: Decreases Risk (-0.011)
9,7,8,7,7,6,6,6,5,4,2,2,4,4,2,2,4,4,0,0,1,6,6,4,5,0,0,5,1,1,2,0,0,4,0,0,0.0,6,2,2,8,0.0,6,0,0,3,0.333333,16,0.0,0.1875,23,1,0,0.0434783,0.0,17,0.0588235,0.0588235,True,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.366,<b>Missrate30</b>: Decreases Risk (-0.034)<br><b>Accuracy30</b>: Increases Risk (0.034)<br><b>Missrate31</b>: Increases Risk (0.024)<br><b>Clicks32</b>: Decreases Risk (-0.024)<br><b>Nativelang_Yes</b>: Increases Risk (0.007)
8,2,3,3,3,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,1,2,2,1,2,0,0,1,1,1,0,0,0,0,0,0,0.0,2,2,2,0,0.0,1,0,0,1,1.0,7,0.0,0.0,20,0,0,0.0,0.0,16,0.0,0.0,False,False,"<span style=""color:red; font-weight:bold;"">Dyslexia</span>",0.586,<b>Hits20</b>: Decreases Risk (-0.028)<br><b>Clicks20</b>: Increases Risk (0.028)<br><b>Score1</b>: Decreases Risk (-0.028)<br><b>Age</b>: Increases Risk (0.028)<br><b>Missrate30</b>: Increases Risk (0.017)
8,0,6,1,1,0,0,0,3,2,1,1,2,5,5,5,5,5,4,4,3,2,2,6,0,0,0,4,4,4,2,1,1,7,3,3,0.428571,6,4,4,0,0.0,0,0,0,25,0.04,4,0.5,0.5,32,0,1,0.0,0.03125,15,0.0,0.2,False,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.243,<b>Age</b>: Increases Risk (0.083)<br><b>Score1</b>: Decreases Risk (-0.083)<br><b>Clicks2</b>: Increases Risk (0.06)<br><b>Hits2</b>: Decreases Risk (-0.06)<br><b>Clicks30</b>: Decreases Risk (-0.015)
8,4,5,5,5,6,4,4,2,5,5,5,6,0,0,0,4,4,3,3,2,1,1,2,11,0,0,5,4,4,8,2,2,4,2,2,0.5,6,4,4,18,0.0,8,1,1,1,1.0,9,0.0,0.222222,15,0,0,0.0,0.0,20,0.05,0.05,True,True,"<span style=""color:red; font-weight:bold;"">Dyslexia</span>",0.81,<b>Age</b>: Increases Risk (0.037)<br><b>Score1</b>: Decreases Risk (-0.037)<br><b>Clicks30</b>: Increases Risk (0.025)<br><b>Accuracy29</b>: Decreases Risk (-0.025)<br><b>Clicks22</b>: Increases Risk (0.011)
10,6,6,6,6,5,5,5,3,5,5,5,4,1,1,1,5,3,3,3,4,5,5,8,3,1,1,5,3,3,4,3,3,4,4,4,1.0,4,2,2,4,0.0,9,3,3,3,0.333333,17,0.0588235,0.176471,35,2,1,0.0571429,0.0285714,25,0.08,0.04,True,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.02,<b>Score1</b>: Decreases Risk (-0.018)<br><b>Age</b>: Increases Risk (0.018)<br><b>Clicks30</b>: Decreases Risk (-0.016)<br><b>Accuracy29</b>: Increases Risk (0.016)<br><b>Clicks32</b>: Decreases Risk (-0.013)
7,1,20,0,0,15,1,1,10,16,5,5,2,3,3,3,5,5,3,3,2,0,0,9,19,4,4,12,4,4,9,1,1,20,0,0,0.0,8,1,1,11,0.181818,15,3,3,26,0.0384615,6,0.833333,0.166667,24,0,1,0.0,0.0416667,17,0.0,0.235294,True,False,"<span style=""color:red; font-weight:bold;"">Dyslexia</span>",0.607,<b>Age</b>: Increases Risk (0.026)<br><b>Score1</b>: Decreases Risk (-0.026)<br><b>Accuracy30</b>: Decreases Risk (-0.018)<br><b>Missrate30</b>: Increases Risk (0.018)<br><b>Hits11</b>: Decreases Risk (-0.01)
9,2,3,1,1,9,0,0,6,5,0,0,3,3,3,3,6,6,4,4,1,0,0,5,2,0,0,2,0,0,5,1,1,5,1,1,0.2,2,0,0,6,0.0,2,1,1,21,0.0952381,2,0.5,0.5,32,0,2,0.0,0.0625,16,0.0625,125.0,False,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.316,<b>Accuracy30</b>: Decreases Risk (-0.013)<br><b>Missrate30</b>: Increases Risk (0.013)<br><b>Clicks29</b>: Decreases Risk (-0.011)<br><b>Score28</b>: Increases Risk (0.011)<br><b>Nativelang_Yes</b>: Decreases Risk (-0.009)
11,1,9,3,3,9,2,2,8,5,5,5,3,7,7,7,7,7,5,5,1,4,4,5,6,4,4,7,5,5,6,1,1,4,3,3,0.75,4,3,3,4,0.5,2,1,1,26,0.0769231,3,1.0,0.0,35,3,1,0.0857143,0.0285714,17,0.0588235,0.176471,False,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.094,<b>Hits10</b>: Decreases Risk (-0.04)<br><b>Clicks10</b>: Increases Risk (0.04)<br><b>Missrate30</b>: Decreases Risk (-0.032)<br><b>Accuracy30</b>: Increases Risk (0.032)<br><b>Misses31</b>: Increases Risk (0.02)
8,8,8,8,8,5,5,5,2,5,5,5,3,3,3,3,4,4,4,4,0,6,6,4,0,0,0,4,4,4,1,0,0,1,1,1,1.0,4,2,2,19,0.157895,8,2,2,4,0.0,17,0.0,0.235294,35,2,1,0.0571429,0.0285714,23,0.0,0.0869565,False,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.066,<b>Age</b>: Increases Risk (0.071)<br><b>Score1</b>: Decreases Risk (-0.071)<br><b>Clicks26</b>: Decreases Risk (-0.017)<br><b>Accuracy25</b>: Increases Risk (0.017)<br><b>Hits26</b>: Increases Risk (0.013)
12,4,11,11,11,11,11,11,5,9,9,9,5,5,5,5,8,8,7,7,8,8,8,7,8,3,3,6,6,6,5,5,5,5,5,5,1.0,0,0,0,20,0.2,10,2,2,5,0.2,17,0.0588235,0.176471,44,4,1,0.0909091,0.0227273,26,0.0769231,0.0769231,False,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.046,<b>Accuracy30</b>: Increases Risk (0.023)<br><b>Missrate30</b>: Decreases Risk (-0.023)<br><b>Clicks30</b>: Decreases Risk (-0.016)<br><b>Accuracy29</b>: Increases Risk (0.016)<br><b>Missrate31</b>: Increases Risk (0.013)
9,1,6,2,2,22,4,4,8,6,4,4,4,8,8,8,10,10,0,0,6,5,5,2,5,4,4,6,6,6,2,0,0,3,2,2,0.666667,5,5,5,2,0.0,6,5,5,24,0.0416667,1,1.0,0.0,41,4,1,0.097561,0.0243902,17,0.117647,0.117647,False,False,"<span style=""color:green; font-weight:bold;"">No Dyslexia</span>",0.068,<b>Score1</b>: Decreases Risk (-0.025)<br><b>Age</b>: Increases Risk (0.025)<br><b>Clicks10</b>: Increases Risk (0.025)<br><b>Hits10</b>: Decreases Risk (-0.025)<br><b>Accuracy30</b>: Increases Risk (0.024)
